id,sha256,bucket,model,iso,compression,width,height,size_bytes
ref-00038.nef,cd5dcb75aaa3bfac53ed248781eee35aec1ac164326203a41d0b3fbb694c1ca8,z8,NIKON Z 8,1600,High Efficiency,8280,5520,21701632
ref-00039.nef,25eed36dc236418d074ecd22d94b3885a6b0007e2a2ceac36cc10911337f8681,z8,NIKON Z 8,1400,High Efficiency,8280,5520,22571008
ref-00040.nef,9d723641abc5c73ad2663f48e2477008c970710ee9752186b32d19498ea46883,z8,NIKON Z 8,7200,High Efficiency,8280,5520,22597120
ref-00041.nef,410df96f6d11477713275569c56296309cce8c23243e1cd23b7a73f65a30af12,z8,NIKON Z 8,2500,High Efficiency,8280,5520,23187968
ref-00042.nef,ed3be3afb96e8fd1184e5fedbbb90304676211d81b708b7cb4c1972e6b697822,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23783936
ref-00043.nef,9f125a7ff128a40c210df91154a4bda4ea30352f738954e75ffab334bcf917cf,z8,NIKON Z 8,2800,High Efficiency,8280,5520,23028224
ref-00044.nef,89b2f666e8e008d1ecb6094b3c15f5439c98af3ee7cf814fbe4f4ca5c6e4c9a6,z8,NIKON Z 8,3200,High Efficiency,8280,5520,22904320
ref-00045.nef,d00263361e5fb319f7d9f0c35c6a44402d95ec518d0c40f35f298e61e6e8af71,z8,NIKON Z 8,5600,High Efficiency,8280,5520,23405056
ref-00046.nef,77604a268a936283e92147a8a405066f29d572f27808ded0b65ef9c70a038aad,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23699968
ref-00047.nef,ada1a2484b89d6d85d135458e88644f0965ba2fa2b9fbad807a8f8a8973d428a,z8,NIKON Z 8,2200,High Efficiency,8280,5520,22608896
ref-00048.nef,0a6803144f6a41987beac46726e514a1361ab879482acd1c8f4f5ac70fb8c5cc,z8,NIKON Z 8,3600,High Efficiency,8280,5520,23656960
ref-00049.nef,dd959d04dd37df1c4f295fdac6b7f6c23cec7a3258bb519bac9bd168c597fca7,z8,NIKON Z 8,3600,High Efficiency,8280,5520,23657472
ref-00050.nef,17060828126e77952fca61f96037cd86a4241197387c3a12fdc3ee8a1926cbdd,z8,NIKON Z 8,2500,High Efficiency,8280,5520,23140352
ref-00051.nef,b6f47e09f788fa34b26c824aee62a825ba7af9e4f4d46fa8ee2eefc7a6b32c79,z8,NIKON Z 8,2200,High Efficiency,8280,5520,22656512
ref-00052.nef,465c363359ef916991e870b5a1b3da0c0f5459c4f8674ff18a438c54a3df73de,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23199744
ref-00053.nef,329ec23927f1ba147af498d58354d5cbb4ee606484d8cd0013557b7f56223188,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23106048
ref-00054.nef,0f2a88ea2475da890f4307e50af6e38159c856bada1790199c0660b505799f7c,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23363072
ref-00055.nef,ff315af46a472d4023dc284d8893a6157f9b5ffbfd466f0b1b6dc87863b946cb,z8,NIKON Z 8,1800,High Efficiency,8280,5520,21783552
ref-00056.nef,64b086cbbad7e9c9c9312754421b594e8b6d4a2614a7372a0c635c3512c721d7,z8,NIKON Z 8,2000,High Efficiency,8280,5520,22183424
ref-00057.nef,c52e64cf16c401f25eb98ea5f327f514d1f44cd1b801000fa15091518f188a83,z8,NIKON Z 8,2500,High Efficiency,8280,5520,23044096
ref-00058.nef,582d298d267a173892b52ddb6c67d365b6eecd4e05efb48a7e7c457670e562a6,z8,NIKON Z 8,2800,High Efficiency,8280,5520,23028224
ref-00059.nef,21dc281d62f857b11a144f0f519426e76b6683403a3ecd68dc6103a8d1cd554a,z8,NIKON Z 8,2200,High Efficiency,8280,5520,22673408
ref-00060.nef,e9f76b1f728c438cf9170e4f3f80908ea5e3a7732b1c05645433e48865018cf4,z8,NIKON Z 8,2500,High Efficiency,8280,5520,22787072
ref-00061.nef,1ed37b040dc27e509de0b072085b70d2faf0645b2a3325b6fbf8d7133a5060df,z8,NIKON Z 8,4000,High Efficiency,8280,5520,23519744
ref-00062.nef,218b63cd088709e029a09186777452b3b6895c2bc0ec7d40e415b3dc52f05134,z8,NIKON Z 8,8000,High Efficiency,8280,5520,24377856
ref-00063.nef,a0715423def42243b64737ee99af61ed204a95bf4b6256c51be9f15a22c2c7b6,z8,NIKON Z 8,2000,High Efficiency,8280,5520,22350848
ref-00064.nef,7b83950955dd6c948be47cbc1e50031d14c89f280b91ab9ef41369073f7637b1,z8,NIKON Z 8,2500,High Efficiency,8280,5520,22989824
ref-00065.nef,7c2bde23a50e883fe23e398ff6b0489ab5604e6c60e6be6c455a438433ecbcb0,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23085056
ref-00066.nef,28a66a2a8a81ee5cc8aabfa69d2004a386ca92785978d48de3447da73dbe84f0,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23266304
ref-00067.nef,6f0fc2d7b2c73b6e29290216d9d91afed189bd22d8b4df2ba4c7e716e58966c5,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23196160
ref-00068.nef,76b7c2be5227f515ec5f32d6c6e1606ec3dbce7f1a76763eacbcf49feb65e7b6,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23362560
ref-00069.nef,13e631695f0df03df584ec2be6b2fe9bd5fbe69351ffbcb6f3c81f19291b5e90,z8,NIKON Z 8,3600,High Efficiency,8280,5520,23360512
ref-00070.nef,049b3a8b8a5e0f7e1897ef4e5ec056c2cb12132ee49d9710d8aa8fe2b00f72d5,z8,NIKON Z 8,3600,High Efficiency,8280,5520,23637504
ref-00071.nef,cb48fb49ac71343b05b579f428c4c99cb76b691d8bfe5b6e2d4fd2990ac64bbf,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23632896
ref-00072.nef,3fb6cd10b0fb9a93be2415beab0f2a3ec35a72c5dff326fe64bf90611b2dbf6d,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23877632
ref-00073.nef,f856c3bd2a20ca943cdbc5ea63c5a28a607007a5135809c6021420fa7118e1a7,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23612416
ref-00074.nef,a93aeb177b43791d37b4d6ab068fa799cc85d03a7c65642467e504cf8a3f88ab,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23691264
ref-00075.nef,5e9ac03126a1a6efb7045094b37423bd1392bd23973a91e6a0ab8680f0cbc546,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23432704
ref-00076.nef,b29bf4593729a9633e812c951bb3f2adda51a17dcaef940c4e7d8e1757bd7fe6,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23446528
ref-00077.nef,090b837956831a479d080d1e14c9cb48254879a8cb9f4af60cd648018c91c82f,z8,NIKON Z 8,6400,High Efficiency,8280,5520,22914048
ref-00078.nef,5f625ae506fe56c65cc41d6097e5482547000f1f79fc99ec4657b467459e5c66,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23885312
ref-00079.nef,6672fec43bb4adfb619e6b611f4bb55afd082a251e8cbc9bc3af7bf5e0923502,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23878656
